Day of week, Time, Capacity
Monday, 23:00, 0
Tuesday, 23:00, 0
Wednesday, 23:00, 0
Saturday, 23:00, 0
Sunday, 23:00, 0
Thursday, 15:45, 44.8
Thursday, 16:00, 44.8
Thursday, 16:30, 52.8
Thursday, 16:45, 78.4
Thursday, 17:00, 78.4
Thursday, 17:30, 43.2
Thursday, 17:45, 43.2
Thursday, 18:00, 52
Thursday, 18:15, 52
Thursday, 18:30, 52
Thursday, 18:45, 43.2
Thursday, 19:15, 32
Thursday, 19:45, 22.4
Thursday, 20:00, 22.4
Thursday, 20:15, 19.2
Thursday, 20:30, 19.2
Thursday, 20:45, 30.4
Thursday, 21:00, 30.4
Thursday, 21:15, 19.2
Thursday, 21:30, 19.2
Thursday, 21:45, 20
Thursday, 22:00, 20
Thursday, 22:15, 17.6
Thursday, 22:30, 17.6
Thursday, 22:45, 11.2
Thursday, 23:00, 11.2
Thursday, 23:15, 0
Thursday, 23:30, 0
Thursday, 23:45, 0
Friday, 6:00, 0
Friday, 6:15, 0
Friday, 6:30, 0
Friday, 6:45, 32.8
Friday, 7:00, 32.8
Friday, 7:15, 34.4
Friday, 7:30, 34.4
Friday, 7:45, 17.6
Friday, 8:00, 17.6
Friday, 8:15, 28
Friday, 8:30, 28
Friday, 8:45, 36.8
Friday, 9:00, 21.6
Friday, 9:15, 21.6
Friday, 9:30, 21.6
Friday, 9:45, 16.8
Friday, 10:00, 16.8
Friday, 10:15, 16
Friday, 10:30, 19.2
Friday, 10:45, 19.2
Friday, 11:00, 16
Friday, 11:15, 16
Friday, 11:30, 20
Friday, 11:45, 20
Friday, 12:00, 20
Friday, 12:15, 16.8
Friday, 12:30, 27.2
Friday, 12:45, 27.2
Friday, 13:00, 30.4
Friday, 13:15, 30.4
Friday, 13:30, 30.4
Friday, 13:45, 32.8
Friday, 14:00, 32.8
Friday, 14:15, 32.8
Friday, 14:30, 32.8
Friday, 14:45, 56
Friday, 15:00, 56
Friday, 15:15, 54.4
Friday, 15:30, 54.4
Friday, 15:45, 25.6
Friday, 16:00, 25.6
Friday, 16:15, 44
Friday, 16:30, 44
Friday, 16:45, 31.2
Friday, 17:00, 31.2
Friday, 17:15, 18.4
Friday, 17:30, 18.4
Friday, 17:45, 12
Friday, 18:00, 12
Friday, 18:15, 16.8
Friday, 18:30, 16.8
Friday, 18:45, 28
Friday, 19:00, 28
Friday, 19:15, 28.8
Friday, 19:30, 20.8
Friday, 19:45, 20.8
Friday, 20:00, 17.6
Friday, 20:15, 17.6
Friday, 20:30, 17.6
Friday, 20:45, 15.2
Friday, 21:00, 15.2
Friday, 21:15, 0
Friday, 21:30, 0
Friday, 21:45, 0
Saturday, 8:00, 0
Saturday, 8:15, 0.8
Saturday, 8:30, 0.8
Saturday, 8:45, 4
Saturday, 9:00, 4
Saturday, 9:15, 4.8
Saturday, 9:30, 4.8
Saturday, 9:45, 8.8
Saturday, 10:00, 8.8
Saturday, 10:15, 12
Saturday, 10:30, 12
Saturday, 10:45, 8
Saturday, 11:00, 8
Saturday, 11:15, 9.6
Saturday, 11:30, 9.6
Saturday, 11:45, 8
Saturday, 12:00, 8
Saturday, 12:15, 7.2
Saturday, 12:30, 7.2
Saturday, 12:45, 11.2
Saturday, 13:00, 11.2
Saturday, 13:15, 14.4
Saturday, 13:30, 14.4
Saturday, 13:45, 12.8
Saturday, 14:00, 12.8
Saturday, 14:15, 13.6
Saturday, 14:30, 13.6
Saturday, 14:45, 18.4
Saturday, 15:00, 18.4
Saturday, 15:15, 19.2
Saturday, 15:30, 19.2
Saturday, 15:45, 16
Saturday, 16:00, 16
Saturday, 16:15, 21.6
Saturday, 16:30, 21.6
Saturday, 16:45, 16
Saturday, 17:00, 16
Saturday, 17:15, 0
Saturday, 17:30, 0
Saturday, 17:45, 0
Sunday, 12:00, 0
Sunday, 12:15, 0
Sunday, 12:30, 0
Sunday, 12:45, 12.8
Sunday, 13:00, 12.8
Sunday, 13:15, 24.8
Sunday, 13:30, 24.8
Sunday, 13:45, 25.6
Sunday, 14:00, 25.6
Sunday, 14:15, 26.4
Sunday, 14:30, 26.4
Sunday, 14:45, 26.4
Sunday, 15:00, 26.4
Sunday, 15:15, 20.8
Sunday, 15:30, 20.8
Sunday, 15:45, 18.4
Sunday, 16:00, 18.4
Sunday, 16:15, 11.2
Sunday, 16:30, 6.4
Sunday, 16:45, 6.4
Sunday, 17:00, 6.4
Sunday, 17:15, 17.6
Sunday, 17:30, 17.6
Sunday, 17:45, 19.2
Sunday, 18:00, 19.2
Sunday, 18:15, 23.2
Sunday, 18:30, 23.2
Sunday, 18:45, 27.2
Sunday, 19:00, 27.2
Sunday, 19:15, 21.6
Sunday, 19:30, 21.6
Sunday, 19:45, 22.4
Sunday, 20:00, 20
Sunday, 20:15, 20
Sunday, 20:30, 20
Sunday, 20:45, 17.6
Sunday, 21:00, 17.6
Sunday, 21:15, 16
Sunday, 21:30, 16
Sunday, 21:45, 11.2
Sunday, 22:00, 0
Sunday, 22:15, 0
Sunday, 22:30, 0
Sunday, 22:45, 0
Monday, 6:00, 0
Monday, 6:15, 37.6
Monday, 6:30, 37.6
Monday, 6:45, 69.6
Monday, 7:00, 69.6
